,OBJECTID_x,NGBRHD2,medhhinc,unemp,famfpl185,chldfpl185,chld_3_4_preschl,ed_lt_hs,ed_hsgrad,ed_partcoll,ed_collgrad,ed_hs,OBJECTID_y,life,cancer_mort,heart_mort,alzeihmers_mort,stroke_mort,respiratory_mort,injury_mort,diabetes_mort,hyper_mort,flu_pneum_mort,birth,birth_lw,birth_pt,preg_overobese,preg_prenatal,birth_teen,smoker,obese_adult,overobese_teen,overobese_child
40,45.0,Cambrian Park East Central,109991.0,8.0,10.0,15.0,65.0,6.0,16.0,33.0,45.0,22.0,45.0,83.0,152.7,130.5,35.4,25.9,24.7,31.4,32.9,19.9,20.4,12.5,6.0,9.0,38.0,76.0,11.4,8% to 10%,20% to 23%,17% to 22%,8% to 10%
41,46.0,Cambrian Park West,107192.0,9.0,9.0,27.5,65.0,7.0,16.0,27.0,51.0,23.0,46.0,83.0,159.4,120.5,53.0,31.4,29.3,25.7,31.9,19.9,18.6,11.3,6.0,9.0,32.0,79.0,4.7,8% to 10%,16% to 20%,11% to 17%,6% to 8%
42,47.0,Cambrian Park West Central,92236.0,9.0,11.0,13.0,76.0,8.0,19.0,31.0,42.0,27.0,47.0,82.0,155.3,135.9,40.2,32.6,29.6,30.3,24.7,19.9,19.3,11.7,7.0,9.0,39.0,77.0,12.3,11,21,22% to 26%,8% to 10%
43,48.0,Canoas East,93204.0,9.0,12.0,11.0,55.0,10.0,21.0,34.0,35.0,31.0,48.0,82.0,150.2,123.4,38.7,29.8,28.4,26.4,31.9,19.9,18.6,12.3,8.0,10.0,44.0,77.0,17.5,12,22,22% to 26%,10% to 15%
44,49.0,Capital Goss,50130.0,11.0,39.0,50.0,65.0,34.0,27.0,23.0,16.0,61.0,49.0,83.0,133.2,124.0,39.0,49.1,27.8,27.2,28.7,19.9,18.6,17.2,6.0,10.0,50.0,70.0,49.8,11% to 13%,23% to 31%,26% to 38%,15% to 21%
45,50.0,Communications Hill,84699.0,7.0,8.0,27.5,65.0,11.0,16.0,26.0,48.0,27.0,50.0,82.0,189.4,126.7,39.0,29.8,38.8,40.6,31.9,19.9,18.6,19.5,7.0,8.0,34.0,78.0,19.1,10% to 11%,15% to 16%,22% to 26%,6% to 8%
46,51.0,Coyote Valley,92045.0,11.0,14.0,27.5,65.0,10.0,17.0,35.0,38.0,27.0,51.0,80.0,150.9,176.5,39.0,29.8,29.05,27.2,31.9,19.9,18.6,12.6,6.0,10.0,46.0,77.0,22.2,10% to 11%,20% to 23%,26% to 38%,10% to 15%
47,52.0,Edenvale / Great Oaks,56751.0,13.0,39.0,55.0,65.0,33.0,23.0,25.0,19.0,56.0,52.0,82.0,139.9,143.4,39.0,29.8,29.05,27.2,44.0,19.9,18.6,16.9,6.0,9.0,53.0,74.0,36.3,11% to 13%,23% to 31%,22% to 26%,15% to 21%
48,53.0,Edenvale / Seven Trees,58571.0,14.0,33.0,44.0,65.0,40.0,20.0,24.0,16.0,60.0,53.0,81.0,161.4,128.5,39.0,29.8,29.05,24.6,31.9,19.9,18.6,16.4,7.0,9.0,48.0,72.0,41.9,11% to 13%,23% to 31%,26% to 38%,15% to 21%
49,54.0,Evergreen Central,99179.0,13.0,19.0,28.0,65.0,18.0,18.0,30.0,34.0,36.0,54.0,83.0,142.5,108.0,49.8,29.1,29.05,29.5,35.4,19.9,18.6,12.2,9.0,11.0,38.0,72.0,22.3,8% to 10%,20% to 23%,26% to 38%,8% to 10%
